			Temp	Pulses	ElapsedIn	ElapsedOut	LpH		In	Out	Total	
ElapsedOut	901											
LpH	28											
Temp	0											
Pulses	1134											
ElapsedIn	340											
ElapsedOut	859											
LpH	28,86											
Temp	0											
Pulses	1135											
ElapsedIn	351											
ElapsedOut	859											
LpH	29,1											
Temp	0											
Pulses	1136											
ElapsedIn	351											
ElapsedOut	859											
LpH	29,17											
Temp	0											
Pulses	1137											
ElapsedIn	354											
ElapsedOut	859											
LpH	29,21											
Temp	0											
Pulses	1137											
ElapsedIn	354											
ElapsedOut	906											
LpH	29,41											
Temp	0											
Pulses	1138											
ElapsedIn	386											
ElapsedOut	906											
LpH	28,86											
Temp	0											
Pulses	1139											
ElapsedIn	581											
ElapsedOut	906											
LpH	26,66											
Temp	0											
Pulses	1139											
ElapsedIn	581											
ElapsedOut	862											
LpH	24,27											
Temp	0											
Pulses	1140											
ElapsedIn	439											
ElapsedOut	862											
LpH	22,75											
Temp	0											
Pulses	1141											
ElapsedIn	326											
ElapsedOut	862											
LpH	22,87											
Temp	0											
Pulses	1141											
ElapsedIn	326											
ElapsedOut	905											
LpH	23,25											
Temp	0											
Pulses	1142											
ElapsedIn	310											
ElapsedOut	905											
LpH	24,09											
Temp	0											
Pulses	1143											
ElapsedIn	393											
ElapsedOut	905											
LpH	23,65											
Temp	0											
Pulses	1143											
ElapsedIn	393											
ElapsedOut	865											
LpH	23,14											
Temp	0											
Pulses	1144											
ElapsedIn	332											
ElapsedOut	865											
LpH	23,37											
Temp	0											
Pulses	1145											
ElapsedIn	327											
ElapsedOut	865											
LpH	24,14											
Temp	0											
Pulses	1146											
ElapsedIn	376											
ElapsedOut	865											
LpH	25,8											
Temp	0											
Pulses	1146											
ElapsedIn	376											
ElapsedOut	908											
LpH	27,71											
Temp	0											
Pulses	1147											
ElapsedIn	354											
ElapsedOut	908											
LpH	28,88											
Temp	0											
Pulses	1148											
ElapsedIn	383											
ElapsedOut	908											
LpH	28,15											
Temp	0											
Pulses	1148											
ElapsedIn	383											
ElapsedOut	873											
LpH	27,19											
Temp	0											
Pulses	1149											
ElapsedIn	344											
ElapsedOut	873											
LpH	26,5											
Temp	0											
Pulses	1150											
ElapsedIn	389											
ElapsedOut	873											
LpH	26,46											
Temp	0											
Pulses	1151											
ElapsedIn	351											
ElapsedOut	873											
LpH	27,06											
Temp	0											
Pulses	1151											
ElapsedIn	351											
ElapsedOut	905											
LpH	26,86											
Temp	0											
Pulses	1152											
ElapsedIn	309											
ElapsedOut	905											
LpH	27,32											
Temp	0											
Pulses	1153											
ElapsedIn	354											
ElapsedOut	905											
LpH	27,74											
Temp	0											
Pulses	1153											
ElapsedIn	354											
ElapsedOut	882											
LpH	27,98											
Temp	0											
Pulses	1154											
ElapsedIn	437											
ElapsedOut	882											
LpH	26,89											
Temp	0											
Pulses	1155											
ElapsedIn	332											
ElapsedOut	882											
LpH	27,58											
Temp	0											
Pulses	1156											
ElapsedIn	334											
ElapsedOut	882											
LpH	28,33											
Temp	0											
Pulses	1156											
ElapsedIn	334											
ElapsedOut	888											
LpH	28,54											
Temp	0											
Pulses	1157											
ElapsedIn	342											
ElapsedOut	888											
LpH	29,25											
Temp	0											
Pulses	1158											
ElapsedIn	378											
ElapsedOut	888											
LpH	28,91											
Temp	0											
Pulses	1158											
ElapsedIn	378											
ElapsedOut	904											
LpH	28,52											
Temp	0											
Pulses	1159											
ElapsedIn	416											
ElapsedOut	904											
LpH	26,94											
Temp	0											
Pulses	1160											
ElapsedIn	315											
ElapsedOut	904											
LpH	27,6											
Temp	0											
Pulses	1161											
ElapsedIn	337											
ElapsedOut	904											
LpH	27,94											
Temp	0											
Pulses	1161											
ElapsedIn	337											
ElapsedOut	890											
LpH	29,25											
Temp	0											
Pulses	1162											
ElapsedIn	302											
ElapsedOut	890											
LpH	29,84											
Temp	0											
Pulses	1163											
ElapsedIn	405											
ElapsedOut	890											
LpH	28,86											
Temp	0											
Pulses	1164											
ElapsedIn	312											
ElapsedOut	890											
LpH	29,27											
Temp	0											
Pulses	1164											
ElapsedIn	312											
ElapsedOut	898											
LpH	29,83											
Temp	0											
Pulses	1165											
ElapsedIn	352											
ElapsedOut	898											
LpH	30,23											
Temp	0											
Pulses	1166											
ElapsedIn	321											
ElapsedOut	898											
LpH	31,1											
Temp	0											
Pulses	1166											
ElapsedIn	321											
ElapsedOut	898											
LpH	32,43											
Temp	0											
Pulses	1167											
ElapsedIn	364											
ElapsedOut	898											
LpH	31,61											
Temp	0											
Pulses	1168											
ElapsedIn	351											
ElapsedOut	898											
LpH	31,37											
Temp	0											
Pulses	1169											
ElapsedIn	311											
ElapsedOut	898											
LpH	31,86											
Temp	0											
Pulses	1169											
ElapsedIn	311											
ElapsedOut	888											
LpH	31,67											
Temp	0											
Pulses	1170											
ElapsedIn	333											
ElapsedOut	888											
LpH	32,68											
Temp	0											
Pulses	1171											
ElapsedIn	355											
ElapsedOut	888											
LpH	31,94											
Temp	0											
Pulses	1171											
ElapsedIn	355											
ElapsedOut	885											
LpH	31,16											
Temp	0											
Pulses	1172											
ElapsedIn	376											
ElapsedOut	885											
LpH	30,78											
Temp	0											
Pulses	1173											
ElapsedIn	319											
ElapsedOut	885											
LpH	30,78											
Temp	0											
Pulses	1174											
ElapsedIn	311											
ElapsedOut	885											
LpH	30,94											
Temp	0											
Pulses	1174											
ElapsedIn	311											
ElapsedOut	894											
LpH	31,81											
Temp	0											
Pulses	1175											
ElapsedIn	298											
ElapsedOut	894											
LpH	32,76											
Temp	0											
Pulses	1176											
ElapsedIn	370											
ElapsedOut	894											
LpH	31,78											
Temp	0											
Pulses	1177											
ElapsedIn	386											
ElapsedOut	894											
LpH	30,61											
Temp	0											
Pulses	1177											
ElapsedIn	386											
ElapsedOut	884											
LpH	29,82											
Temp	0											
Pulses	1178											
ElapsedIn	343											
ElapsedOut	884											
LpH	29,99											
Temp	0											
Pulses	1179											
ElapsedIn	387											
ElapsedOut	884											
LpH	29,55											
Temp	0											
Pulses	1179											
ElapsedIn	387											
ElapsedOut	884											
LpH	29,4											
Temp	0											
Pulses	1180											
ElapsedIn	352											
ElapsedOut	884											
LpH	28,84											
Temp	0											
Pulses	1181											
ElapsedIn	340											
ElapsedOut	884											
LpH	28,32											
Temp	0											
Pulses	1182											
ElapsedIn	337											
ElapsedOut	884											
LpH	27,82											
Temp	0											
Pulses	1182											
ElapsedIn	337											
ElapsedOut	890											
LpH	27,08											
Temp	0											
Pulses	1183											
ElapsedIn	371											
ElapsedOut	890											
LpH	27,05											
Temp	0											
Pulses	1184											
ElapsedIn	394											
ElapsedOut	890											
LpH	26,94											
Temp	0											
Pulses	1184											
ElapsedIn	394											
ElapsedOut	906											
LpH	26,9											
Temp	0											
Pulses	1185											
ElapsedIn	390											
ElapsedOut	906											
LpH	26,3											
Temp	0											
Pulses	1186											
ElapsedIn	387											
ElapsedOut	906											
LpH	26,36											
Temp	0											
Pulses	1186											
ElapsedIn	387											
ElapsedOut	921											
LpH	26,46											
Temp	0											
Pulses	1187											
ElapsedIn	376											
ElapsedOut	921											
LpH	26,22											
Temp	0											
Pulses	1188											
ElapsedIn	415											
ElapsedOut	921											
LpH	25,32											
Temp	0											
Pulses	1189											
ElapsedIn	427											
ElapsedOut	921											
LpH	24,23											
Temp	0											
Pulses	1189											
ElapsedIn	427											
ElapsedOut	923											
LpH	23,14											
Temp	0											
Pulses	1190											
ElapsedIn	429											
ElapsedOut	923											
LpH	22,54											
Temp	0											
Pulses	1191											
ElapsedIn	431											
ElapsedOut	923											
LpH	22,22											
Temp	0											
Pulses	1191											
ElapsedIn	431											
ElapsedOut	922											
LpH	21,85											
Temp	0											
Pulses	1192											
ElapsedIn	457											
ElapsedOut	922											
LpH	21,18											
Temp	0											
Pulses	1193											
ElapsedIn	448											
ElapsedOut	922											
LpH	20,55											
Temp	0											
Pulses	1193											
ElapsedIn	448											
ElapsedOut	926											
LpH	19,9											
Temp	0											
Pulses	1194											
ElapsedIn	429											
ElapsedOut	926											
LpH	19,29											
Temp	0											
Pulses	1195											
ElapsedIn	437											
ElapsedOut	926											
LpH	19,07											
Temp	0											
Pulses	1195											
ElapsedIn	437											
ElapsedOut	923											
LpH	18,98											
Temp	0											
Pulses	1196											
ElapsedIn	430											
ElapsedOut	923											
LpH	18,95											
Temp	0											
Pulses	1197											
ElapsedIn	457											
ElapsedOut	923											
LpH	18,68											
Temp	0											
Pulses	1197											
ElapsedIn	457											
ElapsedOut	926											
LpH	18,43											
Temp	0											
Pulses	1198											
ElapsedIn	463											
ElapsedOut	926											
LpH	18,14											
Temp	0											
Pulses	1199											
ElapsedIn	458											
ElapsedOut	926											
LpH	18,14											
Temp	0											
Pulses	1199											
ElapsedIn	458											
ElapsedOut	923											
LpH	18,05											
Temp	0											
Pulses	1200											
ElapsedIn	451											
ElapsedOut	923											
LpH	18,02											
Temp	0											
Pulses	1201											
ElapsedIn	444											
ElapsedOut	923											
LpH	17,86											
Temp	0											
Pulses	1201											
ElapsedIn	444											
ElapsedOut	921											
LpH	17,78											
Temp	0											
Pulses	1202											
ElapsedIn	459											
ElapsedOut	921											
LpH	17,56											
Temp	0											
Pulses	1203											
ElapsedIn	497											
ElapsedOut	921											
LpH	16,97											
Temp	0											
Pulses	1203											
ElapsedIn	497											
ElapsedOut	923											
LpH	16,63											
Temp	0											
Pulses	1204											
ElapsedIn	467											
ElapsedOut	923											
LpH	16,54											
Temp	0											
Pulses	1205											
ElapsedIn	471											
ElapsedOut	923											
LpH	16,46											
Temp	0											
Pulses	1205											
ElapsedIn	471											
ElapsedOut	921											
LpH	16,33											
Temp	0											
Pulses	1206											
ElapsedIn	496											
ElapsedOut	921											
LpH	16,01											
Temp	0											
Pulses	1207											
ElapsedIn	496											
ElapsedOut	921											
LpH	15,62											
Temp	0											
Pulses	1207											
ElapsedIn	496											
ElapsedOut	925											
LpH	15,18											
Temp	0											
Pulses	1208											
ElapsedIn	495											
ElapsedOut	925											
LpH	14,75											
Temp	0											
Pulses	1209											
ElapsedIn	505											
ElapsedOut	925											
LpH	14,38											
Temp	0											
Pulses	1209											
ElapsedIn	505											
ElapsedOut	926											
LpH	14,34											
Temp	0											
Pulses	1210											
ElapsedIn	463											
ElapsedOut	926											
LpH	14,63											
Temp	0											
Pulses	1211											
ElapsedIn	465											
ElapsedOut	926											
LpH	14,65											
Temp	0											
Pulses	1211											
ElapsedIn	465											
ElapsedOut	922											
LpH	14,7											
Temp	0											
Pulses	1212											
ElapsedIn	461											
ElapsedOut	922											
LpH	14,79											
Temp	0											
Pulses	1213											
ElapsedIn	517											
ElapsedOut	922											
LpH	14,64											
Temp	0											
Pulses	1213											
ElapsedIn	517											
ElapsedOut	926											
LpH	14,5											
Temp	0											
Pulses	1214											
ElapsedIn	500											
ElapsedOut	926											
LpH	14,47											
Temp	0											
Pulses	1214											
ElapsedIn	500											
ElapsedOut	921											
LpH	14,42											
Temp	0											
Pulses	1215											
ElapsedIn	462											
ElapsedOut	921											
LpH	14,76											
Temp	0											
Pulses	1216											
ElapsedIn	438											
ElapsedOut	921											
LpH	15,32											
Temp	0											
Pulses	1216											
ElapsedIn	438											
ElapsedOut	924											
LpH	15,55											
Temp	0											
Pulses	1217											
ElapsedIn	489											
ElapsedOut	924											
LpH	15,34											
Temp	0											
Pulses	1218											
ElapsedIn	459											
ElapsedOut	924											
LpH	15,4											
Temp	0											
Pulses	1218											
ElapsedIn	459											
ElapsedOut	927											
LpH	15,43											
Temp	0											
Pulses	1219											
ElapsedIn	469											
ElapsedOut	927											
LpH	15,82											
Temp	0											
Pulses	1220											
ElapsedIn	517											
ElapsedOut	927											
LpH	15,82											
Temp	0											
Pulses	1220											
ElapsedIn	517											
ElapsedOut	920											
LpH	15,68											
Temp	0											
Pulses	1221											
ElapsedIn	409											
ElapsedOut	920											
LpH	16,52											
Temp	0											
Pulses	1222											
ElapsedIn	419											
ElapsedOut	920											
LpH	16,94											
Temp	0											
Pulses	1223											
ElapsedIn	448											
ElapsedOut	920											
LpH	16,84											
Temp	0											
Pulses	1223											
ElapsedIn	448											
ElapsedOut	925											
LpH	16,75											
Temp	0											
Pulses	1224											
ElapsedIn	453											
ElapsedOut	925											
LpH	17,06											
Temp	0											
Pulses	1225											
ElapsedIn	462											
ElapsedOut	925											
LpH	17,03											
Temp	0											
Pulses	1225											
ElapsedIn	462											
ElapsedOut	922											
LpH	16,99											
Temp	0											
Pulses	1226											
ElapsedIn	445											
ElapsedOut	922											
LpH	17,2											
Temp	0											
Pulses	1227											
ElapsedIn	449											
ElapsedOut	922											
LpH	17,74											
Temp	0											
Pulses	1227											
ElapsedIn	449											
ElapsedOut	920											
LpH	18,29											
Temp	0											
Pulses	1228											
ElapsedIn	433											
ElapsedOut	920											
LpH	18,04											
Temp	0											
Pulses	1229											
ElapsedIn	462											
ElapsedOut	920											
LpH	17,62											
Temp	0											
Pulses	1229											
ElapsedIn	462											
ElapsedOut	923											
LpH	17,5											
Temp	0											
Pulses	1230											
ElapsedIn	477											
ElapsedOut	923											
LpH	17,23											
Temp	0											
Pulses	1231											
ElapsedIn	451											
ElapsedOut	923											
LpH	17,25											
Temp	0											
Pulses	1231											
ElapsedIn	451											
ElapsedOut	922											
LpH	17,34											
Temp	0											
Pulses	1232											
ElapsedIn	427											
ElapsedOut	922											
LpH	17,68											
Temp	0											
Pulses	1233											
ElapsedIn	460											
ElapsedOut	922											
LpH	17,54											
Temp	0											
Pulses	1233											
ElapsedIn	460											
ElapsedOut	924											
LpH	17,44											
Temp	0											
Pulses	1234											
ElapsedIn	461											
ElapsedOut	924											
LpH	17,34											
Temp	0											
Pulses	1235											
ElapsedIn	462											
ElapsedOut	924											
LpH	17,08											
Temp	0											
Pulses	1235											
ElapsedIn	462											
ElapsedOut	925											
LpH	17,09											
Temp	0											
Pulses	1236											
ElapsedIn	468											
ElapsedOut	925											
LpH	17,04											
Temp	0											
Pulses	1237											
ElapsedIn	410											
ElapsedOut	925											
LpH	17,7											
Temp	0											
Pulses	1237											
ElapsedIn	410											
ElapsedOut	919											
LpH	18,11											
Temp	0											
Pulses	1238											
ElapsedIn	510											
ElapsedOut	919											
LpH	17,61											
Temp	0											
Pulses	1239											
ElapsedIn	503											
ElapsedOut	919											
LpH	16,94											
Temp	0											
Pulses	1239											
ElapsedIn	503											
ElapsedOut	922											
LpH	16,58											
Temp	0											
Pulses	1240											
ElapsedIn	460											
ElapsedOut	922											
LpH	16,58											
Temp	0											
Pulses	1241											
ElapsedIn	409											
ElapsedOut	922											
LpH	17,1											
Temp	0											
Pulses	1241											
ElapsedIn	409											
ElapsedOut	921											
LpH	17,62											
Temp	0											
Pulses	1242											
ElapsedIn	416											
ElapsedOut	921											
LpH	18,06											
Temp	0											
Pulses	1243											
ElapsedIn	454											
ElapsedOut	921											
LpH	18,18											
Temp	0											
Pulses	1243											
ElapsedIn	454											
ElapsedOut	920											
LpH	17,72											
Temp	0											
Pulses	1244											
ElapsedIn	448											
ElapsedOut	920											
LpH	17,33											
Temp	0											
Pulses	1245											
ElapsedIn	461											
ElapsedOut	920											
LpH	17,72											
Temp	0											
Pulses	1245											
ElapsedIn	461											
ElapsedOut	923											
LpH	18,08											
Temp	0											
Pulses	1246											
ElapsedIn	392											
ElapsedOut	923											
LpH	19,15											
Temp	0											
Pulses	1247											
ElapsedIn	474											
ElapsedOut	923											
LpH	19,03											
Temp	0											
Pulses	1247											
ElapsedIn	474											
ElapsedOut	924											
LpH	18,4											
Temp	0											
Pulses	1248											
ElapsedIn	431											
ElapsedOut	924											
LpH	18,17											
Temp	0											
Pulses	1249											
ElapsedIn	409											
ElapsedOut	924											
LpH	18,25											
Temp	0											
Pulses	1249											
ElapsedIn	409											
ElapsedOut	926											
LpH	18,73											
Temp	0											
Pulses	1250											
ElapsedIn	410											
ElapsedOut	926											
LpH	19,19											
Temp	0											
Pulses	1251											
ElapsedIn	453											
ElapsedOut	926											
LpH	19,16											
Temp	0											
Pulses	1251											
ElapsedIn	453											
ElapsedOut	925											
LpH	19,25											
Temp	0											
Pulses	1252											
ElapsedIn	465											
ElapsedOut	925											
LpH	19,22											
Temp	0											
Pulses	1253											
ElapsedIn	423											
ElapsedOut	925											
LpH	18,87											
Temp	0											
Pulses	1253											
ElapsedIn	423											
ElapsedOut	923											
LpH	19,35											
Temp	0											
Pulses	1254											
ElapsedIn	496											
ElapsedOut	923											
LpH	19,17											
Temp	0											
Pulses	1255											
ElapsedIn	430											
ElapsedOut	923											
LpH	19,18											
Temp	0											
Pulses	1255											
ElapsedIn	430											
ElapsedOut	924											
LpH	18,95											
Temp	0											
Pulses	1256											
ElapsedIn	455											
ElapsedOut	924											
LpH	18,48											
Temp	0											
Pulses	1257											
ElapsedIn	434											
ElapsedOut	924											
LpH	18,22											
Temp	0											
Pulses	1258											
ElapsedIn	427											
ElapsedOut	924											
LpH	18,47											
Temp	0											
Pulses	1258											
ElapsedIn	427											
ElapsedOut	923											
LpH	18,71											
Temp	0											
Pulses	1259											
ElapsedIn	454											
ElapsedOut	923											
LpH	18,81											
Temp	0											
Pulses	1260											
ElapsedIn	445											
ElapsedOut	923											
LpH	18,58											
Temp	0											
Pulses	1260											
ElapsedIn	445											
ElapsedOut	923											
LpH	18,36											
Temp	0											
Pulses	1261											
ElapsedIn	448											
ElapsedOut	923											
LpH	18,77											
Temp	0											
Pulses	1262											
ElapsedIn	455											
ElapsedOut	923											
LpH	18,53											
Temp	0											
Pulses	1262											
ElapsedIn	455											
ElapsedOut	922											
LpH	18,28											
Temp	0											
Pulses	1263											
ElapsedIn	377											
ElapsedOut	922											
LpH	19,14											
Temp	0											
Pulses	1264											
ElapsedIn	439											
ElapsedOut	922											
LpH	19,08											
Temp	0											
Pulses	1264											
ElapsedIn	439											
ElapsedOut	916											
LpH	18,94											
Temp	0											
Pulses	1265											
ElapsedIn	449											
ElapsedOut	916											
LpH	18,7											
Temp	0											
Pulses	1266											
ElapsedIn	463											
ElapsedOut	916											
LpH	18,6											
Temp	0											
Pulses	1266											
ElapsedIn	463											
ElapsedOut	915											
LpH	18,42											
Temp	0											
Pulses	1267											
ElapsedIn	494											
ElapsedOut	915											
LpH	17,97											
Temp	0											
Pulses	1268											
ElapsedIn	443											
ElapsedOut	915											
LpH	18											
Temp	0											
Pulses	1268											
ElapsedIn	443											
ElapsedOut	922											
LpH	18,11											
Temp	0											
Pulses	1269											
ElapsedIn	391											
ElapsedOut	922											
LpH	18,79											
Temp	0											
Pulses	1270											
ElapsedIn	435											
ElapsedOut	922											
LpH	18,12											
Temp	0											
Pulses	1270											
ElapsedIn	435											
ElapsedOut	921											
LpH	18,16											
Temp	0											
Pulses	1271											
ElapsedIn	499											
ElapsedOut	921											
LpH	17,65											
Temp	0											
Pulses	1272											
ElapsedIn	417											
ElapsedOut	921											
LpH	17,99											
Temp	0											
Pulses	1272											
ElapsedIn	417											
ElapsedOut	919											
LpH	18,45											
Temp	0											
Pulses	1273											
ElapsedIn	474											
ElapsedOut	919											
LpH	18,36											
Temp	0											
Pulses	1274											
ElapsedIn	434											
ElapsedOut	919											
LpH	18,91											
Temp	0											
Pulses	1274											
ElapsedIn	434											
ElapsedOut	918											
LpH	19											
Temp	0											
Pulses	1275											
ElapsedIn	438											
ElapsedOut	918											
LpH	19,04											
Temp	0											
Pulses	1276											
ElapsedIn	420											
ElapsedOut	918											
LpH	18,69											
Temp	0											
Pulses	1276											
ElapsedIn	420											
ElapsedOut	924											
LpH	18,86											
Temp	0											
Pulses	1277											
ElapsedIn	506											
ElapsedOut	924											
LpH	18,25											
Temp	0											
Pulses	1278											
ElapsedIn	453											
ElapsedOut	924											
LpH	18,65											
Temp	0											
Pulses	1278											
ElapsedIn	453											
ElapsedOut	922											
LpH	18,29											
Temp	0											
Pulses	1279											
ElapsedIn	504											
ElapsedOut	922											
LpH	17,51											
Temp	0											
Pulses	1280											
ElapsedIn	451											
ElapsedOut	922											
LpH	17,72											
Temp	0											
Pulses	1280											
ElapsedIn	451											
ElapsedOut	925											
LpH	17,57											
Temp	0											
Pulses	1281											
ElapsedIn	435											
ElapsedOut	925											
LpH	17,58											
Temp	0											
Pulses	1282											
ElapsedIn	453											
ElapsedOut	925											
LpH	17,46											
Temp	0											
Pulses	1282											
ElapsedIn	453											
ElapsedOut	920											
LpH	17,13											
Temp	0											
Pulses	1283											
ElapsedIn	464											
ElapsedOut	920											
LpH	16,7											
Temp	0											
Pulses	1284											
ElapsedIn	408											
ElapsedOut	920											
LpH	17,59											
Temp	0											
Pulses	1284											
ElapsedIn	408											
ElapsedOut	925											
LpH	18,05											
Temp	0											
Pulses	1285											
ElapsedIn	440											
ElapsedOut	925											
LpH	18,18											
Temp	0											
Pulses	1286											
ElapsedIn	488											
ElapsedOut	925											
LpH	18,31											
Temp	0											
Pulses	1286											
ElapsedIn	488											
ElapsedOut	922											
LpH	17,99											
Temp	0											
Pulses	1287											
ElapsedIn	445											
ElapsedOut	922											
LpH	18,04											
Temp	0											
Pulses	1288											
ElapsedIn	421											
ElapsedOut	922											
LpH	18,18											
Temp	0											
Pulses	1288											
ElapsedIn	421											
ElapsedOut	924											
LpH	18,49											
Temp	0											
Pulses	1289											
ElapsedIn	413											
ElapsedOut	924											
LpH	18,91											
Temp	0											
Pulses	1290											
ElapsedIn	468											
ElapsedOut	924											
LpH	18,89											
Temp	0											
Pulses	1291											
ElapsedIn	421											
ElapsedOut	924											
LpH	18,75											
Temp	0											
Pulses	1291											
ElapsedIn	421											
ElapsedOut	924											
LpH	18,61											
Temp	0											
Pulses	1292											
ElapsedIn	463											
ElapsedOut	924											
LpH	18,39											
Temp	0											
Pulses	1293											
ElapsedIn	426											
ElapsedOut	924											
LpH	18,95											
Temp	0											
Pulses	1293											
ElapsedIn	426											
ElapsedOut	928											
LpH	19,53											
Temp	0											
Pulses	1294											
ElapsedIn	454											
ElapsedOut	928											
LpH	19,46											
Temp	0											
Pulses	1295											
ElapsedIn	438											
ElapsedOut	928											
LpH	19,31											
Temp	0											
Pulses	1295											
ElapsedIn	438											
ElapsedOut	931											
LpH	19,15											
Temp	0											
Pulses	1296											
ElapsedIn	440											
ElapsedOut	931											
LpH	18,89											
Temp	0											
Pulses	1297											
ElapsedIn	440											
ElapsedOut	931											
LpH	19,16											
Temp	0											
Pulses	1297											
ElapsedIn	440											
ElapsedOut	924											
LpH	18,97											
Temp	0											
Pulses	1298											
ElapsedIn	472											
ElapsedOut	924											
LpH	18,48											
Temp	0											
Pulses	1299											
ElapsedIn	482											
ElapsedOut	924											
LpH	18,32											
Temp	0											
Pulses	1299											
ElapsedIn	482											
ElapsedOut	926											
LpH	17,81											
Temp	0											
Pulses	1300											
ElapsedIn	475											
ElapsedOut	926											
LpH	17,34											
Temp	0											
Pulses	1301											
ElapsedIn	458											
ElapsedOut	926											
LpH	17,3											
Temp	0											
Pulses	1301											
ElapsedIn	458											
ElapsedOut	922											
LpH	17,1											
Temp	0											
Pulses	1302											
ElapsedIn	439											
ElapsedOut	922											
LpH	17,07											
Temp	0											
Pulses	1303											
ElapsedIn	438											
ElapsedOut	922											
LpH	17,06											
Temp	0											
Pulses	1303											
ElapsedIn	438											
ElapsedOut	923											
LpH	17,06											
Temp	0											
Pulses	1304											
ElapsedIn	503											
ElapsedOut	923											
LpH	16,52											
Temp	0											
Pulses	1305											
ElapsedIn	495											
ElapsedOut	923											
LpH	16,33											
Temp	0											
Pulses	1305											
ElapsedIn	495											
ElapsedOut	948											
LpH	16,29											
Temp	0											
Pulses	1306											
ElapsedIn	481											
ElapsedOut	948											
LpH	16,35											
Temp	0											
Pulses	1307											
ElapsedIn	574											
ElapsedOut	948											
LpH	15,72											
Temp	0											
Pulses	1307											
ElapsedIn	574											
ElapsedOut	1022											
LpH	15,11											
Temp	0											
Pulses	1308											
ElapsedIn	664											
ElapsedOut	1022											
LpH	14,07											
Temp	0											
Pulses	1308											
ElapsedIn	664											
ElapsedOut	1078											
LpH	12,96											
Temp	0											
Pulses	1309											
ElapsedIn	670											
ElapsedOut	1078											
LpH	11,81											
Temp	0											
Pulses	1310											
ElapsedIn	725											
ElapsedOut	1078											
LpH	10,45											
Temp	0											
Pulses	1310											
ElapsedIn	725											
ElapsedOut	1104											
LpH	9,7											
Temp	0											
Pulses	1311											
ElapsedIn	670											
ElapsedOut	1104											
LpH	9,1											
Temp	0											
Pulses	1311											
ElapsedIn	670											
ElapsedOut	1111											
LpH	8,45											
Temp	0											
Pulses	1312											
ElapsedIn	668											
ElapsedOut	1111											
LpH	7,69											
Temp	0											
Pulses	1313											
ElapsedIn	742											
ElapsedOut	1111											
LpH	7,29											
Temp	0											
Pulses	1313											
ElapsedIn	742											
ElapsedOut	1101											
LpH	6,7											
Temp	0											
Pulses	1314											
ElapsedIn	728											
ElapsedOut	1101											
LpH	6,61											
Temp	0											
Pulses	1315											
ElapsedIn	640											
ElapsedOut	1101											
LpH	6,76											
Temp	0											
Pulses	1315											
ElapsedIn	640											
ElapsedOut	1114											
LpH	6,96											
Temp	0											
Pulses	1316											
ElapsedIn	690											
ElapsedOut	1114											
LpH	7,16											
Temp	0											
Pulses	1316											
ElapsedIn	690											
ElapsedOut	1103											
LpH	7,29											
Temp	0											
Pulses	1317											
ElapsedIn	690											
ElapsedOut	1103											
LpH	7,21											
Temp	0											
Pulses	1318											
ElapsedIn	724											
ElapsedOut	1103											
LpH	6,98											
Temp	0											
Pulses	1318											
ElapsedIn	724											
ElapsedOut	1110											
LpH	6,76											
Temp	0											
Pulses	1319											
ElapsedIn	684											
ElapsedOut	1110											
LpH	6,98											
Temp	0											
Pulses	1319											
ElapsedIn	684											
ElapsedOut	1117											
LpH	7,22											
Temp	0											
Pulses	1320											
ElapsedIn	672											
ElapsedOut	1117											
LpH	7,47											
Temp	0											
Pulses	1321											
ElapsedIn	700											
ElapsedOut	1117											
LpH	7,24											
Temp	0											
Pulses	1321											
ElapsedIn	700											
ElapsedOut	1104											
LpH	6,97											
Temp	0											
Pulses	1322											
ElapsedIn	718											
ElapsedOut	1104											
LpH	6,85											
Temp	0											
Pulses	1322											
ElapsedIn	718											
ElapsedOut	1122											
LpH	6,77											
Temp	0											
Pulses	1323											
ElapsedIn	764											
ElapsedOut	1122											
LpH	6,54											
Temp	0											
Pulses	1324											
ElapsedIn	697											
ElapsedOut	1122											
LpH	6,68											
Temp	0											
Pulses	1324											
ElapsedIn	697											
ElapsedOut	1099											
LpH	6,76											
Temp	0											
Pulses	1325											
ElapsedIn	737											
ElapsedOut	1099											
LpH	6,54											
Temp	0											
Pulses	1326											
ElapsedIn	694											
ElapsedOut	1099											
LpH	6,47											
Temp	0											
Pulses	1326											
ElapsedIn	694											
ElapsedOut	1114											
LpH	6,37											
Temp	0											
Pulses	1327											
ElapsedIn	741											
ElapsedOut	1114											
LpH	6,22											
Temp	0											
Pulses	1327											
ElapsedIn	741											
ElapsedOut	1099											
LpH	6,06											
Temp	0											
Pulses	1328											
ElapsedIn	743											
ElapsedOut	1099											
LpH	5,96											
Temp	0											
Pulses	1329											
ElapsedIn	684											
ElapsedOut	1099											
LpH	6,05											
Temp	0											
Pulses	1329											
ElapsedIn	684											
ElapsedOut	1117											
LpH	6,33											
Temp	0											
Pulses	1330											
ElapsedIn	752											
ElapsedOut	1117											
LpH	6,12											
Temp	0											
Pulses	1330											
ElapsedIn	752											
ElapsedOut	1103											
LpH	5,93											
Temp	0											
Pulses	1331											
ElapsedIn	718											
ElapsedOut	1103											
LpH	6,01											
Temp	0											
Pulses	1332											
ElapsedIn	737											
ElapsedOut	1103											
LpH	5,85											
Temp	0											
Pulses	1332											
ElapsedIn	737											
ElapsedOut	1116											
LpH	5,7											
Temp	0											
Pulses	1333											
ElapsedIn	746											
ElapsedOut	1116											
